"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.SVN.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Slovenia, Republic of","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","CHN.SCC.INWD_D_AG_FL_ALL.GX641.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Inward Direct investment, Assets (gross), Debt instruments, All entities","North Africa","Annual","Millions","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.ZAF.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","South Africa","Annual","Millions","221.0","","","","369.0","939.0","1040.0","1074.0","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.ISL.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Iceland","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.U005.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","South America","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.KAZ.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Kazakhstan, Republic of","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.SVK.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Slovak Republic","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.SCC.INWD_D_AG_FALL_FE.MUS.A","OBS_VALUE","United States","Derived using counterparty information","Inward Direct investment, Assets (gross), All financial instruments, Fellow enterprises","Mauritius","Annual","Millions","","","5.0","34.04","29.23","82.74825","29.0","29.0","22.5","348.0","51.0","838.0","818.2025","641.668","722.049"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.ESP.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Spain","Annual","Millions","387.0","598.0","1465.0","3268.0","4479.0","5101.0","4611.0","5010.0","2578.0","1833.0","1935.0","1961.0","1400.0","1097.0","947.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.MOZ.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Mozambique, Republic of","Annual","Millions","","","","","","","","","","","","","","",""
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.ITA.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Italy","Annual","Millions","","","2509.0","1879.0","2005.0","2000.0","1676.0","1510.0","2133.0","2355.0","2185.0","1464.0","1584.0","1597.0","1717.0"
"IMF.STA:DIP(12.0.0)","USA.O.INWD_D_AG_FL_ALL.U202.A","OBS_VALUE","United States","Reported official data","Inward Direct investment, Assets (gross), Debt instruments, All entities","Sub-Saharan Africa","Annual","Millions","","","","","","","","","","","","","","",""
